id,user_id,team_id,challenge_id,is_correct,submitted_at,is_redeemed,redeemed_at
1,1,1,4,1,2025-10-16 02:10:00,0,2025-10-16 02:10:00
2,2,1,9,1,2025-10-16 02:10:00,1,2025-10-16 02:10:00
3,3,1,11,0,2025-10-16 02:10:00,1,2025-10-16 02:10:00
4,4,1,13,1,2025-10-16 02:10:00,1,2025-10-16 02:10:00
5,5,1,3,0,2025-10-16 02:10:00,1,2025-10-16 02:10:00
6,6,2,20,1,2025-10-17 11:30:00,1,2025-10-17 11:30:00
7,7,2,22,0,2025-10-17 11:30:00,1,2025-10-17 11:30:00
8,8,2,27,1,2025-10-17 11:30:00,1,2025-10-17 11:30:00
9,9,2,29,1,2025-10-17 11:30:00,1,2025-10-17 11:30:00
10,10,2,16,1,2025-10-17 11:30:00,1,2025-10-17 11:30:00
11,11,3,36,0,2025-10-18 15:00:00,1,2025-10-18 15:00:00
12,12,3,38,1,2025-10-18 15:00:00,1,2025-10-18 15:00:00
13,13,3,40,1,2025-10-18 15:00:00,1,2025-10-18 15:00:00
14,14,3,45,0,2025-10-18 15:00:00,1,2025-10-18 15:00:00
15,15,3,32,1,2025-10-18 15:00:00,1,2025-10-18 15:00:00
16,16,4,49,1,2025-10-19 09:45:00,1,2025-10-19 09:45:00
17,17,4,54,1,2025-10-19 09:45:00,1,2025-10-19 09:45:00
18,18,4,56,1,2025-10-19 09:45:00,1,2025-10-19 09:45:00
19,19,4,58,0,2025-10-19 09:45:00,1,2025-10-19 09:45:00
20,20,4,48,1,2025-10-19 09:45:00,1,2025-10-19 09:45:00
