id,user_id,category,answer
1,1,1,Physical AI
2,1,2,여름
3,1,3,ENFP
4,2,1,Agentic AI
5,2,2,겨울
6,2,3,ISTJ
7,3,1,Causal Inference
8,3,2,가을
9,3,3,INTP
10,4,1,LLM/Multimodal
11,4,2,봄
12,4,3,ENTJ
13,5,1,Computer Vision
14,5,2,여름
15,5,3,ISFP
16,6,1,Agentic AI
17,6,2,가을
18,6,3,INFJ
19,7,1,Physical AI
20,7,2,겨울
21,7,3,ESTJ
22,8,1,XAI
23,8,2,봄
24,8,3,INTJ
25,9,1,Agentic AI
26,9,2,여름
27,9,3,ENFJ
28,10,1,Causal Inference
29,10,2,봄
30,10,3,ISTP
31,11,1,LLM/Multimodal
32,11,2,가을
33,11,3,INFP
34,12,1,Physical AI
35,12,2,여름
36,12,3,ENTP
37,13,1,Agentic AI
38,13,2,겨울
39,13,3,ISFJ
40,14,1,Computer Graphics
41,14,2,봄
42,14,3,INTP
43,15,1,Causal Inference
44,15,2,가을
45,15,3,ENFP
46,16,1,Agentic AI
47,16,2,여름
48,16,3,ESTJ
49,17,1,LLM/Multimodal
50,17,2,겨울
51,17,3,INFJ
52,18,1,Physical AI
53,18,2,봄
54,18,3,ISTJ
55,19,1,Agentic AI
56,19,2,가을
57,19,3,ENTJ
58,20,1,XAI
59,20,2,겨울
60,20,3,INTP
61,21,1,Computer Vision
62,21,2,여름
63,21,3,ENFJ
64,22,1,Agentic AI
65,22,2,봄
66,22,3,ISTP
67,23,1,Physical AI
68,23,2,가을
69,23,3,INTJ
70,24,1,LLM/Multimodal
71,24,2,겨울
72,24,3,INFP
73,25,1,Causal Inference
74,25,2,여름
75,25,3,ENTP
